PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,AgeGroup,HasCabin,Deck,FareIsZero,FareCapped,FareLog,FamilySize,IsAlone
1,0,3,male,22.0,1,0,7.25,S,Mr,Young Adult,0,Unknown,0,7.25,2.1102132003465894,2,0
2,1,1,female,38.0,1,0,71.2833,C,Mrs,Adult,1,C,0,65.6344,4.2805931204649,2,0
3,1,3,female,26.0,0,0,7.925,S,Miss,Young Adult,0,Unknown,0,7.925,2.188856327665703,1,1
4,1,1,female,35.0,1,0,53.1,S,Mrs,Young Adult,1,C,0,53.1,3.9908341858524357,2,0
5,0,3,male,35.0,0,0,8.05,S,Mr,Young Adult,0,Unknown,0,8.05,2.2027647577118348,1,1
6,0,3,male,26.0,0,0,8.4583,Q,Mr,Young Adult,0,Unknown,0,8.4583,2.246892662898172,1,1
7,0,1,male,54.0,0,0,51.8625,S,Mr,Adult,1,E,0,51.8625,3.967694202798607,1,1
8,0,3,male,2.0,3,1,21.075,S,Master,Child,0,Unknown,0,21.075,3.0944457464900235,5,0
9,1,3,female,27.0,0,2,11.1333,S,Mrs,Young Adult,0,Unknown,0,11.1333,2.495953738718064,3,0
10,1,2,female,14.0,1,0,30.0708,C,Mrs,Teen,0,Unknown,0,30.0708,3.436268471383741,2,0
11,1,3,female,4.0,1,1,16.7,S,Miss,Child,1,G,0,16.7,2.8735646395797834,3,0
12,1,1,female,58.0,0,0,26.55,S,Miss,Adult,1,C,0,26.55,3.3160025355989236,1,1
13,0,3,male,20.0,0,0,8.05,S,Mr,Young Adult,0,Unknown,0,8.05,2.2027647577118348,1,1
14,0,3,male,39.0,1,5,31.275,S,Mr,Adult,0,Unknown,0,31.275,3.4742929367327062,7,0
15,0,3,female,14.0,0,0,7.8542,S,Miss,Teen,0,Unknown,0,7.8542,2.180891922715322,1,1
16,1,2,female,55.0,0,0,16.0,S,Mrs,Adult,0,Unknown,0,16.0,2.833213344056216,1,1
17,0,3,male,2.0,4,1,29.125,Q,Master,Child,0,Unknown,0,29.125,3.405355391810819,6,0
18,1,2,male,31.0,0,0,13.0,S,Mr,Young Adult,0,Unknown,0,13.0,2.6390573296152584,1,1
19,0,3,female,31.0,1,0,18.0,S,Mrs,Young Adult,0,Unknown,0,18.0,2.9444389791664403,2,0
20,1,3,female,31.0,0,0,7.225,C,Mrs,Young Adult,0,Unknown,0,7.225,2.1071782966514356,1,1
21,0,2,male,35.0,0,0,26.0,S,Mr,Young Adult,0,Unknown,0,26.0,3.295836866004329,1,1
22,1,2,male,34.0,0,0,13.0,S,Mr,Young Adult,1,D,0,13.0,2.6390573296152584,1,1
23,1,3,female,15.0,0,0,8.0292,Q,Miss,Teen,0,Unknown,0,8.0292,2.2004637699272855,1,1
24,1,1,male,28.0,0,0,35.5,S,Mr,Young Adult,1,A,0,35.5,3.597312260588446,1,1
25,0,3,female,8.0,3,1,21.075,S,Miss,Child,0,Unknown,0,21.075,3.0944457464900235,5,0
26,1,3,female,38.0,1,5,31.3875,S,Mrs,Adult,0,Unknown,0,31.3875,3.4777725458882283,7,0
27,0,3,male,26.0,0,0,7.225,C,Mr,Young Adult,0,Unknown,0,7.225,2.1071782966514356,1,1
28,0,1,male,19.0,3,2,263.0,S,Mr,Young Adult,1,C,0,65.6344,5.575949103146316,6,0
29,1,3,female,18.0,0,0,7.8792,Q,Miss,Teen,0,Unknown,0,7.8792,2.1837114628556327,1,1
30,0,3,male,26.0,0,0,7.8958,S,Mr,Young Adult,0,Unknown,0,7.8958,2.1855792552411137,1,1
